,Buy,Sell,Hols,Firsts,Fridays
564,2004-08-06,2004-08-09,0,0,1
565,2004-08-13,2004-08-16,0,0,1
566,2004-08-20,2004-08-23,0,0,1
567,2004-08-27,2004-08-30,0,0,1
568,2004-09-03,2004-09-06,0,0,1
569,2004-09-10,2004-09-13,0,0,1
570,2004-09-17,2004-09-20,0,0,1
571,2004-09-24,2004-09-27,0,0,1
572,2004-10-01,2004-10-04,0,0,1
573,2004-10-08,2004-10-11,0,0,1
574,2004-10-15,2004-10-18,0,0,1
575,2004-10-22,2004-10-25,0,0,1
576,2004-10-29,2004-11-01,0,0,1
577,2004-11-05,2004-11-08,0,0,1
578,2004-11-12,2004-11-15,0,0,1
579,2004-11-19,2004-11-22,0,0,1
580,2004-11-26,2004-11-29,0,0,1
581,2004-12-03,2004-12-06,0,0,1
582,2004-12-10,2004-12-13,0,0,1
583,2004-12-17,2004-12-20,0,0,1
584,2004-12-24,2004-12-27,0,0,1
585,2005-01-07,2005-01-10,0,0,1
586,2005-01-14,2005-01-17,0,0,1
587,2005-01-21,2005-01-24,0,0,1
588,2005-01-28,2005-01-31,0,0,1
589,2005-02-04,2005-02-07,0,0,1
590,2005-02-11,2005-02-14,0,0,1
591,2005-02-18,2005-02-21,0,0,1
592,2005-02-25,2005-02-28,0,0,1
593,2005-03-04,2005-03-07,0,0,1
594,2005-03-11,2005-03-14,0,0,1
595,2005-03-18,2005-03-21,0,0,1
596,2005-03-25,2005-03-28,0,0,1
597,2005-04-01,2005-04-04,0,0,1
598,2005-04-08,2005-04-11,0,0,1
599,2005-04-15,2005-04-18,0,0,1
600,2005-04-22,2005-04-25,0,0,1
601,2005-04-29,2005-05-02,0,0,1
602,2005-05-06,2005-05-09,0,0,1
603,2005-05-13,2005-05-16,0,0,1
604,2005-05-20,2005-05-23,0,0,1
605,2005-05-27,2005-05-30,0,0,1
606,2005-06-03,2005-06-06,0,0,1
607,2005-06-10,2005-06-13,0,0,1
608,2005-06-17,2005-06-20,0,0,1
609,2005-06-24,2005-06-27,0,0,1
610,2005-07-01,2005-07-04,0,0,1
611,2005-07-08,2005-07-11,0,0,1
612,2005-07-15,2005-07-18,0,0,1
613,2005-07-22,2005-07-25,0,0,1
614,2005-07-29,2005-08-01,0,0,1
615,2005-08-05,2005-08-08,0,0,1
616,2005-08-12,2005-08-15,0,0,1
617,2005-08-19,2005-08-22,0,0,1
618,2005-08-26,2005-08-29,0,0,1
619,2005-09-02,2005-09-05,0,0,1
620,2005-09-09,2005-09-12,0,0,1
621,2005-09-16,2005-09-19,0,0,1
622,2005-09-23,2005-09-26,0,0,1
623,2005-10-07,2005-10-10,0,0,1
624,2005-10-14,2005-10-17,0,0,1
625,2005-10-21,2005-10-24,0,0,1
626,2005-10-28,2005-10-31,0,0,1
627,2005-11-04,2005-11-07,0,0,1
628,2005-11-11,2005-11-14,0,0,1
629,2005-11-18,2005-11-21,0,0,1
